chip,tipo,evento_o_titulo,edicion,anio,titulo_edicion,curaduria,cobertura,n_ingeridos,via_fuente,fase_corrida,fecha_corrida,notas
Bienal de Venecia,bienal,"Bienal de Venecia, muestra internacional",2024,2024,Stranieri Ovunque,Pedrosa,completa,142,web (listas oficiales/prensa),F1-VEN24,,Nucleo Storico póstumo excluido
Bienal de Venecia,bienal,"Bienal de Venecia, muestra internacional",2022,2022,The Milk of Dreams,Alemani,completa,123,web (listas oficiales/prensa),F1-VEN22,,solo vivos
Bienal de Venecia,bienal,"Bienal de Venecia, muestra internacional",2019,2019,May You Live in Interesting Times,Rugoff,completa,79,web (listas oficiales/prensa),F1-VEN19,,79/79
Bienal de Venecia,bienal,"Bienal de Venecia, muestra internacional",2015,2015,All the World’s Futures,Enwezor,completa,121,web (listas oficiales/prensa),F1-VEN15,,plataformas excluidas; colectivos productores dentro
Bienal de Venecia,bienal,"Bienal de Venecia, muestra internacional",2013,2013,Il Palazzo Enciclopedico,Gioni,completa,108,web (listas oficiales/prensa),F1-VEN13,,outsiders/históricos/colecciones anónimas excluidos
Bienal de Venecia,bienal,"Bienal de Venecia, muestra internacional",2009,2009,Fare Mondi,Birnbaum,completa,82,web (listas oficiales/prensa),F1-VEN09,,bloque GUTAI excluido como ancla histórica
Bienal de Venecia,bienal,"Bienal de Venecia, muestra internacional",2007,2007,"Think with the Senses, Feel with the Mind",Storr,completa,84,web (listas oficiales/prensa),F1-VEN07,,fuente: anuncio Artforum; LeWitt y Rhoades con marca
Bienal de Venecia,premio,"León de Oro (registrado como hito, no chip propio)",varias,1997-2024,,,parcial,,web,F1-LDO,,"ediciones 1997, 2001, 2007-2024 en hitos; consolidación F1-LDO en cola"
Documenta,bienal,"documenta, Kassel",11,2002,,,completa,,web,F0-DOC11,,
Documenta,bienal,"documenta, Kassel",12,2007,,,completa,,web,F0-DOC12,,
Documenta,bienal,"documenta, Kassel",13,2012,,,completa,,web,F0-DOC13,,
Documenta,bienal,"documenta, Kassel",14,2017,,,completa,,web,F0-DOC14,,
Whitney Biennial,bienal,"Whitney Biennial, Nueva York",serie,2000-2024,,,completa,913 (chip),web (listas oficiales),F0-WHI,,13 ediciones según plan; sin desglose por edición en este registro
Bienal de São Paulo,bienal,Bienal de São Paulo,24,1998,Antropofagia,Herkenhoff,mínima,4,"web (UiU histórico, Itaú Cultural, prensa)",F2-SPB24,,solo Roteiros verificados; catálogo Issuu en cola Colab
