artista_id,nombre,evento,edicion,anio,hito_original
4,Marina Abramovic,Whitney Biennial,,,"Whitney Biennial 2004, Nueva York"
4,Marina Abramovic,otro,,1997,"León de Oro al mejor participante, Venecia (1997)"
4,Marina Abramovic,Bienal de São Paulo,28,,"28ª Bienal de São Paulo «Em vivo contato» (2008, Mesquita/Cohen)"
4,Marina Abramovic,Bienal do Mercosul,13,,"13ª Bienal do Mercosul «Trauma, sonho e fuga» (2022, Dantas)"
5,Tomma Abts,otro,,2006,Turner Prize (premio 2006)
7,Etel Adnan,documenta,,2012,"documenta 13, Kassel (2012)"
7,Etel Adnan,Whitney Biennial,,,"Whitney Biennial 2014, Nueva York"
10,John Akomfrah,Bienal de Venecia,,,"Bienal de Venecia 2015 «All the World’s Futures», muestra internacional (Enwezor)"
11,Richard Aldrich,Whitney Biennial,,,"Whitney Biennial 2010, Nueva York"
15,Ellen Altfest,Bienal de Venecia,,,"Bienal de Venecia 2013 «Il Palazzo Enciclopedico», muestra internacional (Gioni)"
16,Kai Althoff,Whitney Biennial,,,"Whitney Biennial 2012, Nueva York"
17,David Altmejd,Whitney Biennial,,,"Whitney Biennial 2004, Nueva York"
18,Francis Alÿs,documenta,,2012,"documenta 13, Kassel (2012)"
18,Francis Alÿs,Bienal de Venecia,,,"Bienal de Venecia 2007 «Think with the Senses, Feel with the Mind», muestra internacional (Storr)"
18,Francis Alÿs,Bienal de São Paulo,32,,"32ª Bienal de São Paulo «Incerteza Viva» (2016, Volz)"
18,Francis Alÿs,Bienal de São Paulo,29,,"29ª Bienal de São Paulo «Há sempre um copo de mar para um homem navegar» (2010, dos Anjos/Farias)"
18,Francis Alÿs,Bienal de La Habana,7,2000,7ª Bienal de La Habana «Uno más cerca del otro» (2000-2001)
18,Francis Alÿs,Bienal do Mercosul,6,,"6ª Bienal do Mercosul «A Terceira Margem do Rio» (2007, Pérez-Barreiro)"
19,El Anatsui,otro,,2015,"León de Oro a la trayectoria, Venecia (2015)"
